rep,model_name,feature_split_col,train_size,train_ratio_detail,test_size,test_ratio_detail,accuracy,f1_score,eo_diff,train_ratio_rel,test_ratio_rel,train_ratio,test_ratio
2,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.3/female:0.7,0.76,0.7596153846153847,0.19047619047619047,male:0.5000/female:0.5000,female:0.7000/male:0.3000,:5/:5,:3/:7
2,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.5/female:0.5,0.76,0.7591328783621036,0.2,male:0.5000/female:0.5000,male:0.5000/female:0.5000,:5/:5,:5/:5
2,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.7/female:0.3,0.72,0.7181964573268921,0.28571428571428575,male:0.5000/female:0.5000,male:0.7000/female:0.3000,:5/:5,:7/:3
2,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.9/female:0.1,0.72,0.7171717171717171,0.24444444444444446,male:0.5000/female:0.5000,male:0.9000/female:0.1000,:5/:5,:9/:1
3,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.1/female:0.9,0.78,0.78,0.42222222222222217,female:0.9000/male:0.1000,female:0.9000/male:0.1000,:1/:9,:1/:9
3,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.3/female:0.7,0.8,0.7999199679871949,0.06666666666666665,female:0.9000/male:0.1000,female:0.7000/male:0.3000,:1/:9,:3/:7
3,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.5/female:0.5,0.74,0.7390606182256123,0.16000000000000003,female:0.9000/male:0.1000,male:0.5000/female:0.5000,:1/:9,:5/:5
3,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.7/female:0.3,0.69,0.6884735202492211,0.24761904761904763,female:0.9000/male:0.1000,male:0.7000/female:0.3000,:1/:9,:7/:3
3,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.9/female:0.1,0.62,0.6175523349436393,0.11111111111111116,female:0.9000/male:0.1000,male:0.9000/female:0.1000,:1/:9,:9/:1
3,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.1/female:0.9,0.73,0.7297567811029927,0.11111111111111116,male:0.5000/female:0.5000,female:0.9000/male:0.1000,:5/:5,:1/:9
3,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.3/female:0.7,0.74,0.7395833333333333,0.12380952380952379,male:0.5000/female:0.5000,female:0.7000/male:0.3000,:5/:5,:3/:7
3,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.5/female:0.5,0.77,0.7688674505074866,0.15999999999999998,male:0.5000/female:0.5000,male:0.5000/female:0.5000,:5/:5,:5/:5
3,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.7/female:0.3,0.7,0.6969696969696969,0.19047619047619047,male:0.5000/female:0.5000,male:0.7000/female:0.3000,:5/:5,:7/:3
3,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.9/female:0.1,0.72,0.7171717171717171,0.24444444444444446,male:0.5000/female:0.5000,male:0.9000/female:0.1000,:5/:5,:9/:1
4,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.1/female:0.9,0.79,0.7898108297467721,0.1777777777777778,female:0.9000/male:0.1000,female:0.9000/male:0.1000,:1/:9,:1/:9
4,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.3/female:0.7,0.78,0.78,0.16190476190476188,female:0.9000/male:0.1000,female:0.7000/male:0.3000,:1/:9,:3/:7
4,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.5/female:0.5,0.73,0.7297567811029927,0.2,female:0.9000/male:0.1000,male:0.5000/female:0.5000,:1/:9,:5/:5
4,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.7/female:0.3,0.69,0.6897207486738064,0.20952380952380956,female:0.9000/male:0.1000,male:0.7000/female:0.3000,:1/:9,:7/:3
4,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.9/female:0.1,0.66,0.6598639455782314,0.17777777777777776,female:0.9000/male:0.1000,male:0.9000/female:0.1000,:1/:9,:9/:1
4,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.1/female:0.9,0.72,0.72,0.13333333333333336,male:0.5000/female:0.5000,female:0.9000/male:0.1000,:5/:5,:1/:9
4,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.3/female:0.7,0.73,0.7299729972997301,0.08571428571428569,male:0.5000/female:0.5000,female:0.7000/male:0.3000,:5/:5,:3/:7
4,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.5/female:0.5,0.75,0.7497747973175859,0.03999999999999998,male:0.5000/female:0.5000,male:0.5000/female:0.5000,:5/:5,:5/:5
4,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.7/female:0.3,0.67,0.6697027324592133,0.1428571428571429,male:0.5000/female:0.5000,male:0.7000/female:0.3000,:5/:5,:7/:3
4,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.9/female:0.1,0.69,0.6884735202492211,0.24444444444444446,male:0.5000/female:0.5000,male:0.9000/female:0.1000,:5/:5,:9/:1
5,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.1/female:0.9,0.79,0.7898108297467721,0.04444444444444451,female:0.9000/male:0.1000,female:0.9000/male:0.1000,:1/:9,:1/:9
5,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.3/female:0.7,0.81,0.8098288459613653,0.21904761904761905,female:0.9000/male:0.1000,female:0.7000/male:0.3000,:1/:9,:3/:7
5,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.5/female:0.5,0.78,0.7796474358974359,0.12,female:0.9000/male:0.1000,male:0.5000/female:0.5000,:1/:9,:5/:5
5,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.7/female:0.3,0.73,0.7293233082706767,0.12380952380952381,female:0.9000/male:0.1000,male:0.7000/female:0.3000,:1/:9,:7/:3
5,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.9/female:0.1,0.69,0.6892230576441102,0.17777777777777776,female:0.9000/male:0.1000,male:0.9000/female:0.1000,:1/:9,:9/:1
5,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.1/female:0.9,0.74,0.7398959583833533,0.1777777777777778,male:0.5000/female:0.5000,female:0.9000/male:0.1000,:5/:5,:1/:9
5,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.3/female:0.7,0.76,0.76,0.15238095238095237,male:0.5000/female:0.5000,female:0.7000/male:0.3000,:5/:5,:3/:7
5,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.5/female:0.5,0.76,0.7596153846153847,0.07999999999999999,male:0.5000/female:0.5000,male:0.5000/female:0.5000,:5/:5,:5/:5
5,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.7/female:0.3,0.68,0.6788438378161381,0.2,male:0.5000/female:0.5000,male:0.7000/female:0.3000,:5/:5,:7/:3
5,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.9/female:0.1,0.69,0.686203056989574,0.19999999999999996,male:0.5000/female:0.5000,male:0.9000/female:0.1000,:5/:5,:9/:1
6,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.1/female:0.9,0.79,0.7894736842105263,0.37777777777777777,female:0.9000/male:0.1000,female:0.9000/male:0.1000,:1/:9,:1/:9
6,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.3/female:0.7,0.79,0.7899789978997899,0.09523809523809523,female:0.9000/male:0.1000,female:0.7000/male:0.3000,:1/:9,:3/:7
6,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.5/female:0.5,0.72,0.7198879551820728,0.2,female:0.9000/male:0.1000,male:0.5000/female:0.5000,:1/:9,:5/:5
6,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.7/female:0.3,0.67,0.6697027324592133,0.1428571428571429,female:0.9000/male:0.1000,male:0.7000/female:0.3000,:1/:9,:7/:3
6,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.9/female:0.1,0.64,0.6398559423769509,0.2,female:0.9000/male:0.1000,male:0.9000/female:0.1000,:1/:9,:9/:1
6,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.1/female:0.9,0.73,0.7299729972997301,0.15555555555555556,male:0.5000/female:0.5000,female:0.9000/male:0.1000,:5/:5,:1/:9
6,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.3/female:0.7,0.77,0.7697928135321789,0.19047619047619047,male:0.5000/female:0.5000,female:0.7000/male:0.3000,:5/:5,:3/:7
6,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.5/female:0.5,0.77,0.7697928135321789,0.16000000000000003,male:0.5000/female:0.5000,male:0.5000/female:0.5000,:5/:5,:5/:5
6,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.7/female:0.3,0.7,0.6989160979526295,0.2285714285714286,male:0.5000/female:0.5000,male:0.7000/female:0.3000,:5/:5,:7/:3
6,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.9/female:0.1,0.72,0.7181964573268921,0.2666666666666666,male:0.5000/female:0.5000,male:0.9000/female:0.1000,:5/:5,:9/:1
7,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.1/female:0.9,0.83,0.82998299829983,0.0444444444444444,female:0.9000/male:0.1000,female:0.9000/male:0.1000,:1/:9,:1/:9
7,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.3/female:0.7,0.83,0.8298468621759583,0.10476190476190472,female:0.9000/male:0.1000,female:0.7000/male:0.3000,:1/:9,:3/:7
7,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.5/female:0.5,0.77,0.7688674505074866,0.2,female:0.9000/male:0.1000,male:0.5000/female:0.5000,:1/:9,:5/:5
7,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.7/female:0.3,0.73,0.7277951406391773,0.16190476190476188,female:0.9000/male:0.1000,male:0.7000/female:0.3000,:1/:9,:7/:3
7,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.9/female:0.1,0.68,0.677938808373591,0.2222222222222222,female:0.9000/male:0.1000,male:0.9000/female:0.1000,:1/:9,:9/:1
7,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.1/female:0.9,0.76,0.7599039615846338,0.28888888888888886,male:0.5000/female:0.5000,female:0.9000/male:0.1000,:5/:5,:1/:9
7,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.3/female:0.7,0.78,0.7799119647859143,0.15238095238095237,male:0.5000/female:0.5000,female:0.7000/male:0.3000,:5/:5,:3/:7
7,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.5/female:0.5,0.8,0.8,0.16000000000000003,male:0.5000/female:0.5000,male:0.5000/female:0.5000,:5/:5,:5/:5
7,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.7/female:0.3,0.75,0.7499749974997499,0.3238095238095238,male:0.5000/female:0.5000,male:0.7000/female:0.3000,:5/:5,:7/:3
7,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.9/female:0.1,0.76,0.7591328783621036,0.11111111111111116,male:0.5000/female:0.5000,male:0.9000/female:0.1000,:5/:5,:9/:1
8,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.1/female:0.9,0.82,0.82,0.022222222222222227,female:0.9000/male:0.1000,female:0.9000/male:0.1000,:1/:9,:1/:9
8,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.3/female:0.7,0.8,0.7996794871794871,0.2285714285714286,female:0.9000/male:0.1000,female:0.7000/male:0.3000,:1/:9,:3/:7
8,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.5/female:0.5,0.74,0.7383252818035427,0.27999999999999997,female:0.9000/male:0.1000,male:0.5000/female:0.5000,:1/:9,:5/:5
8,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.7/female:0.3,0.69,0.6874684948079443,0.19047619047619047,female:0.9000/male:0.1000,male:0.7000/female:0.3000,:1/:9,:7/:3
8,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.9/female:0.1,0.64,0.6363636363636364,0.28888888888888886,female:0.9000/male:0.1000,male:0.9000/female:0.1000,:1/:9,:9/:1
8,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.1/female:0.9,0.74,0.74,0.15555555555555556,male:0.5000/female:0.5000,female:0.9000/male:0.1000,:5/:5,:1/:9
8,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.3/female:0.7,0.74,0.7398959583833533,0.15238095238095237,male:0.5000/female:0.5000,female:0.7000/male:0.3000,:5/:5,:3/:7
8,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.5/female:0.5,0.75,0.7493734335839599,0.24,male:0.5000/female:0.5000,male:0.5000/female:0.5000,:5/:5,:5/:5
8,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.7/female:0.3,0.71,0.7085720028137876,0.3523809523809524,male:0.5000/female:0.5000,male:0.7000/female:0.3000,:5/:5,:7/:3
8,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.9/female:0.1,0.71,0.7050147492625368,0.19999999999999996,male:0.5000/female:0.5000,male:0.9000/female:0.1000,:5/:5,:9/:1
9,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.1/female:0.9,0.79,0.7894736842105263,0.15555555555555556,female:0.9000/male:0.1000,female:0.9000/male:0.1000,:1/:9,:1/:9
9,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.3/female:0.7,0.79,0.7898108297467721,0.12380952380952381,female:0.9000/male:0.1000,female:0.7000/male:0.3000,:1/:9,:3/:7
9,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.5/female:0.5,0.74,0.74,0.19999999999999998,female:0.9000/male:0.1000,male:0.5000/female:0.5000,:1/:9,:5/:5
9,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.7/female:0.3,0.69,0.6899689968996898,0.17142857142857143,female:0.9000/male:0.1000,male:0.7000/female:0.3000,:1/:9,:7/:3
9,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.9/female:0.1,0.66,0.66,0.37777777777777777,female:0.9000/male:0.1000,male:0.9000/female:0.1000,:1/:9,:9/:1
9,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.1/female:0.9,0.7,0.7,0.11111111111111116,male:0.5000/female:0.5000,female:0.9000/male:0.1000,:5/:5,:1/:9
9,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.3/female:0.7,0.71,0.70997099709971,0.047619047619047616,male:0.5000/female:0.5000,female:0.7000/male:0.3000,:5/:5,:3/:7
9,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.5/female:0.5,0.74,0.7398959583833533,0.08000000000000002,male:0.5000/female:0.5000,male:0.5000/female:0.5000,:5/:5,:5/:5
9,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.7/female:0.3,0.68,0.6794871794871794,0.26666666666666666,male:0.5000/female:0.5000,male:0.7000/female:0.3000,:5/:5,:7/:3
9,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.9/female:0.1,0.7,0.6989160979526295,0.2666666666666666,male:0.5000/female:0.5000,male:0.9000/female:0.1000,:5/:5,:9/:1
