rep,model_name,feature_split_col,train_size,train_ratio_detail,test_size,test_ratio_detail,train_ratio_rel,test_ratio_rel,train_ratio,test_ratio,accuracy,TN,FP,FN,TP,fairness_tpr_gap,fairness_fpr_gap,fairness_pos_rate_gap,fairness_per_group_json,path_roc
8,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.3/female:0.7,female:0.8000/male:0.2000,female:0.7000/male:0.3000,2/8,3/7,0.896,240,10,42,208,0.06857142857142862,0.09523809523809525,0.08190476190476192,"{""tpr"": {""female"": 0.8114285714285714, ""male"": 0.88}, ""fpr"": {""female"": 0.011428571428571429, ""male"": 0.10666666666666667}, ""pos_rate"": {""female"": 0.4114285714285714, ""male"": 0.49333333333333335}}",/kaggle/working/res/roc_sex_inceptionv3_rep8_1753307012615187618.csv
8,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.4/female:0.6,female:0.8000/male:0.2000,female:0.6000/male:0.4000,2/8,4/6,0.886,236,14,43,207,0.08666666666666667,0.12333333333333334,0.10499999999999998,"{""tpr"": {""female"": 0.7933333333333333, ""male"": 0.88}, ""fpr"": {""female"": 0.006666666666666667, ""male"": 0.13}, ""pos_rate"": {""female"": 0.4, ""male"": 0.505}}",/kaggle/working/res/roc_sex_inceptionv3_rep8_1753307013974397068.csv
8,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.5/female:0.5,female:0.8000/male:0.2000,female:0.5000/male:0.5000,2/8,5/5,0.882,235,15,44,206,0.09599999999999997,0.10400000000000001,0.09999999999999998,"{""tpr"": {""female"": 0.776, ""male"": 0.872}, ""fpr"": {""female"": 0.008, ""male"": 0.112}, ""pos_rate"": {""female"": 0.392, ""male"": 0.492}}",/kaggle/working/res/roc_sex_inceptionv3_rep8_1753307015327217500.csv
8,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.6/female:0.4,female:0.8000/male:0.2000,male:0.6000/female:0.4000,2/8,6/4,0.862,227,23,46,204,0.07666666666666666,0.13666666666666666,0.10666666666666663,"{""tpr"": {""female"": 0.77, ""male"": 0.8466666666666667}, ""fpr"": {""female"": 0.01, ""male"": 0.14666666666666667}, ""pos_rate"": {""female"": 0.39, ""male"": 0.49666666666666665}}",/kaggle/working/res/roc_sex_inceptionv3_rep8_1753307016684779798.csv
8,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.7/female:0.3,female:0.8000/male:0.2000,male:0.7000/female:0.3000,2/8,7/3,0.85,223,27,48,202,0.10666666666666669,0.13523809523809524,0.12095238095238092,"{""tpr"": {""female"": 0.7333333333333333, ""male"": 0.84}, ""fpr"": {""female"": 0.013333333333333334, ""male"": 0.14857142857142858}, ""pos_rate"": {""female"": 0.37333333333333335, ""male"": 0.4942857142857143}}",/kaggle/working/res/roc_sex_inceptionv3_rep8_1753307018045080760.csv
8,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.8/female:0.2,female:0.8000/male:0.2000,male:0.8000/female:0.2000,2/8,8/2,0.842,216,34,45,205,0.125,0.17,0.14749999999999996,"{""tpr"": {""female"": 0.72, ""male"": 0.845}, ""fpr"": {""female"": 0.0, ""male"": 0.17}, ""pos_rate"": {""female"": 0.36, ""male"": 0.5075}}",/kaggle/working/res/roc_sex_inceptionv3_rep8_1753307019395621335.csv
8,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.9/female:0.1,female:0.8000/male:0.2000,male:0.9000/female:0.1000,2/8,9/1,0.83,211,39,46,204,0.15111111111111108,0.17333333333333334,0.1622222222222222,"{""tpr"": {""female"": 0.68, ""male"": 0.8311111111111111}, ""fpr"": {""female"": 0.0, ""male"": 0.17333333333333334}, ""pos_rate"": {""female"": 0.34, ""male"": 0.5022222222222222}}",/kaggle/working/res/roc_sex_inceptionv3_rep8_1753307020757767484.csv
8,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.1/female:0.9,male:0.5000/female:0.5000,female:0.9000/male:0.1000,5/5,1/9,0.886,224,26,31,219,0.04888888888888898,0.0711111111111111,0.011111111111111127,"{""tpr"": {""male"": 0.92, ""female"": 0.8711111111111111}, ""fpr"": {""male"": 0.04, ""female"": 0.1111111111111111}, ""pos_rate"": {""male"": 0.48, ""female"": 0.4911111111111111}}",/kaggle/working/res/roc_sex_inceptionv3_rep8_1753307980450624676.csv
8,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.2/female:0.8,male:0.5000/female:0.5000,female:0.8000/male:0.2000,5/5,2/8,0.892,224,26,28,222,0.06499999999999995,0.07999999999999999,0.007500000000000007,"{""tpr"": {""male"": 0.94, ""female"": 0.875}, ""fpr"": {""male"": 0.04, ""female"": 0.12}, ""pos_rate"": {""male"": 0.49, ""female"": 0.4975}}",/kaggle/working/res/roc_sex_inceptionv3_rep8_1753307981824347384.csv
8,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.3/female:0.7,male:0.5000/female:0.5000,female:0.7000/male:0.3000,5/5,3/7,0.892,222,28,26,224,0.09142857142857141,0.06476190476190476,0.013333333333333308,"{""tpr"": {""male"": 0.96, ""female"": 0.8685714285714285}, ""fpr"": {""male"": 0.06666666666666667, ""female"": 0.13142857142857142}, ""pos_rate"": {""male"": 0.5133333333333333, ""female"": 0.5}}",/kaggle/working/res/roc_sex_inceptionv3_rep8_1753307983237913366.csv
8,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.4/female:0.6,male:0.5000/female:0.5000,female:0.6000/male:0.4000,5/5,4/6,0.89,222,28,27,223,0.11333333333333329,0.07,0.021666666666666667,"{""tpr"": {""male"": 0.96, ""female"": 0.8466666666666667}, ""fpr"": {""male"": 0.07, ""female"": 0.14}, ""pos_rate"": {""male"": 0.515, ""female"": 0.49333333333333335}}",/kaggle/working/res/roc_sex_inceptionv3_rep8_1753307984571659645.csv
8,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.5/female:0.5,male:0.5000/female:0.5000,male:0.5000/female:0.5000,5/5,5/5,0.91,226,24,21,229,0.10399999999999998,0.08000000000000002,0.01200000000000001,"{""tpr"": {""male"": 0.968, ""female"": 0.864}, ""fpr"": {""male"": 0.056, ""female"": 0.136}, ""pos_rate"": {""male"": 0.512, ""female"": 0.5}}",/kaggle/working/res/roc_sex_inceptionv3_rep8_1753307985916697285.csv
8,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.6/female:0.4,male:0.5000/female:0.5000,male:0.6000/female:0.4000,5/5,6/4,0.914,230,20,23,227,0.09666666666666668,0.08333333333333334,0.006666666666666654,"{""tpr"": {""male"": 0.9466666666666667, ""female"": 0.85}, ""fpr"": {""male"": 0.04666666666666667, ""female"": 0.13}, ""pos_rate"": {""male"": 0.49666666666666665, ""female"": 0.49}}",/kaggle/working/res/roc_sex_inceptionv3_rep8_1753307987266083721.csv
8,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.7/female:0.3,male:0.5000/female:0.5000,male:0.7000/female:0.3000,5/5,7/3,0.93,236,14,21,229,0.10857142857142865,0.05333333333333334,0.0276190476190476,"{""tpr"": {""male"": 0.9485714285714286, ""female"": 0.84}, ""fpr"": {""male"": 0.04, ""female"": 0.09333333333333334}, ""pos_rate"": {""male"": 0.4942857142857143, ""female"": 0.4666666666666667}}",/kaggle/working/res/roc_sex_inceptionv3_rep8_1753307988605182857.csv
8,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.8/female:0.2,male:0.5000/female:0.5000,male:0.8000/female:0.2000,5/5,8/2,0.944,238,12,16,234,0.09499999999999997,0.010000000000000002,0.052499999999999936,"{""tpr"": {""male"": 0.955, ""female"": 0.86}, ""fpr"": {""male"": 0.05, ""female"": 0.04}, ""pos_rate"": {""male"": 0.5025, ""female"": 0.45}}",/kaggle/working/res/roc_sex_inceptionv3_rep8_1753307989948336691.csv
8,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.9/female:0.1,male:0.5000/female:0.5000,male:0.9000/female:0.1000,5/5,9/1,0.942,236,14,15,235,0.11111111111111116,0.017777777777777774,0.06444444444444447,"{""tpr"": {""male"": 0.9511111111111111, ""female"": 0.84}, ""fpr"": {""male"": 0.057777777777777775, ""female"": 0.04}, ""pos_rate"": {""male"": 0.5044444444444445, ""female"": 0.44}}",/kaggle/working/res/roc_sex_inceptionv3_rep8_1753307991287684995.csv
9,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.1/female:0.9,female:0.8000/male:0.2000,female:0.9000/male:0.1000,2/8,1/9,0.904,246,4,44,206,0.026666666666666616,0.07111111111111111,0.0222222222222222,"{""tpr"": {""female"": 0.8266666666666667, ""male"": 0.8}, ""fpr"": {""female"": 0.008888888888888889, ""male"": 0.08}, ""pos_rate"": {""female"": 0.4177777777777778, ""male"": 0.44}}",/kaggle/working/res/roc_sex_inceptionv3_rep9_1753308953705968271.csv
9,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.2/female:0.8,female:0.8000/male:0.2000,female:0.8000/male:0.2000,2/8,2/8,0.91,246,4,41,209,0.0050000000000000044,0.03,0.017500000000000016,"{""tpr"": {""female"": 0.835, ""male"": 0.84}, ""fpr"": {""female"": 0.01, ""male"": 0.04}, ""pos_rate"": {""female"": 0.4225, ""male"": 0.44}}",/kaggle/working/res/roc_sex_inceptionv3_rep9_1753308955070642253.csv
