rep,model_name,feature_split_col,train_size,train_ratio_detail,test_size,test_ratio_detail,train_ratio_rel,test_ratio_rel,train_ratio,test_ratio,accuracy,TN,FP,FN,TP,fairness_tpr_gap,fairness_fpr_gap,fairness_pos_rate_gap,fairness_per_group_json,path_roc
3,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.7/female:0.3,female:0.8000/male:0.2000,male:0.7000/female:0.3000,2/8,7/3,0.894,236,14,39,211,0.0323809523809524,0.0419047619047619,0.004761904761904745,"{""tpr"": {""female"": 0.8666666666666667, ""male"": 0.8342857142857143}, ""fpr"": {""female"": 0.02666666666666667, ""male"": 0.06857142857142857}, ""pos_rate"": {""female"": 0.44666666666666666, ""male"": 0.4514285714285714}}",/kaggle/working/res/roc_sex_efficientnetv2_rep3_1753355171250412144.csv
3,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.8/female:0.2,female:0.8000/male:0.2000,male:0.8000/female:0.2000,2/8,8/2,0.884,232,18,40,210,0.025000000000000022,0.065,0.020000000000000018,"{""tpr"": {""female"": 0.86, ""male"": 0.835}, ""fpr"": {""female"": 0.02, ""male"": 0.085}, ""pos_rate"": {""female"": 0.44, ""male"": 0.46}}",/kaggle/working/res/roc_sex_efficientnetv2_rep3_1753355173749057234.csv
3,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.9/female:0.1,female:0.8000/male:0.2000,male:0.9000/female:0.1000,2/8,9/1,0.866,228,22,45,205,0.022222222222222143,0.05333333333333334,0.0377777777777778,"{""tpr"": {""female"": 0.8, ""male"": 0.8222222222222222}, ""fpr"": {""female"": 0.04, ""male"": 0.09333333333333334}, ""pos_rate"": {""female"": 0.42, ""male"": 0.4577777777777778}}",/kaggle/working/res/roc_sex_efficientnetv2_rep3_1753355176284008891.csv
3,efficientnetv2,sex,5000,male:0.5/female:0.5,500,male:0.1/female:0.9,male:0.5000/female:0.5000,female:0.9000/male:0.1000,5/5,1/9,0.928,232,18,18,232,0.03555555555555556,0.08,0.022222222222222254,"{""tpr"": {""male"": 0.96, ""female"": 0.9244444444444444}, ""fpr"": {""male"": 0.0, ""female"": 0.08}, ""pos_rate"": {""male"": 0.48, ""female"": 0.5022222222222222}}",/kaggle/working/res/roc_sex_efficientnetv2_rep3_1753357020313798122.csv
3,efficientnetv2,sex,5000,male:0.5/female:0.5,500,male:0.2/female:0.8,male:0.5000/female:0.5000,female:0.8000/male:0.2000,5/5,2/8,0.93,233,17,18,232,0.06499999999999995,0.06,0.0025000000000000022,"{""tpr"": {""male"": 0.98, ""female"": 0.915}, ""fpr"": {""male"": 0.02, ""female"": 0.08}, ""pos_rate"": {""male"": 0.5, ""female"": 0.4975}}",/kaggle/working/res/roc_sex_efficientnetv2_rep3_1753357022652195158.csv
3,efficientnetv2,sex,5000,male:0.5/female:0.5,500,male:0.3/female:0.7,male:0.5000/female:0.5000,female:0.7000/male:0.3000,5/5,3/7,0.936,234,16,16,234,0.03428571428571425,0.07238095238095238,0.01904761904761898,"{""tpr"": {""male"": 0.96, ""female"": 0.9257142857142857}, ""fpr"": {""male"": 0.013333333333333334, ""female"": 0.08571428571428572}, ""pos_rate"": {""male"": 0.4866666666666667, ""female"": 0.5057142857142857}}",/kaggle/working/res/roc_sex_efficientnetv2_rep3_1753357025005700381.csv
3,efficientnetv2,sex,5000,male:0.5/female:0.5,500,male:0.4/female:0.6,male:0.5000/female:0.5000,female:0.6000/male:0.4000,5/5,4/6,0.942,236,14,15,235,0.04999999999999993,0.07666666666666667,0.013333333333333308,"{""tpr"": {""male"": 0.97, ""female"": 0.92}, ""fpr"": {""male"": 0.01, ""female"": 0.08666666666666667}, ""pos_rate"": {""male"": 0.49, ""female"": 0.5033333333333333}}",/kaggle/working/res/roc_sex_efficientnetv2_rep3_1753357027370923161.csv
3,efficientnetv2,sex,5000,male:0.5/female:0.5,500,male:0.5/female:0.5,male:0.5000/female:0.5000,male:0.5000/female:0.5000,5/5,5/5,0.942,238,12,17,233,0.02399999999999991,0.064,0.020000000000000018,"{""tpr"": {""male"": 0.944, ""female"": 0.92}, ""fpr"": {""male"": 0.016, ""female"": 0.08}, ""pos_rate"": {""male"": 0.48, ""female"": 0.5}}",/kaggle/working/res/roc_sex_efficientnetv2_rep3_1753357029762353412.csv
3,efficientnetv2,sex,5000,male:0.5/female:0.5,500,male:0.6/female:0.4,male:0.5000/female:0.5000,male:0.6000/female:0.4000,5/5,6/4,0.948,240,10,16,234,0.026666666666666616,0.06666666666666667,0.020000000000000018,"{""tpr"": {""male"": 0.9466666666666667, ""female"": 0.92}, ""fpr"": {""male"": 0.013333333333333334, ""female"": 0.08}, ""pos_rate"": {""male"": 0.48, ""female"": 0.5}}",/kaggle/working/res/roc_sex_efficientnetv2_rep3_1753357032176959937.csv
3,efficientnetv2,sex,5000,male:0.5/female:0.5,500,male:0.7/female:0.3,male:0.5000/female:0.5000,male:0.7000/female:0.3000,5/5,7/3,0.956,243,7,15,235,0.04761904761904767,0.05523809523809524,0.003809523809523818,"{""tpr"": {""male"": 0.9542857142857143, ""female"": 0.9066666666666666}, ""fpr"": {""male"": 0.011428571428571429, ""female"": 0.06666666666666667}, ""pos_rate"": {""male"": 0.4828571428571429, ""female"": 0.4866666666666667}}",/kaggle/working/res/roc_sex_efficientnetv2_rep3_1753357034631680002.csv
3,efficientnetv2,sex,5000,male:0.5/female:0.5,500,male:0.8/female:0.2,male:0.5000/female:0.5000,male:0.8000/female:0.2000,5/5,8/2,0.962,244,6,13,237,0.05999999999999994,0.045,0.007500000000000007,"{""tpr"": {""male"": 0.96, ""female"": 0.9}, ""fpr"": {""male"": 0.015, ""female"": 0.06}, ""pos_rate"": {""male"": 0.4875, ""female"": 0.48}}",/kaggle/working/res/roc_sex_efficientnetv2_rep3_1753357037120006447.csv
3,efficientnetv2,sex,5000,male:0.5/female:0.5,500,male:0.9/female:0.1,male:0.5000/female:0.5000,male:0.9000/female:0.1000,5/5,9/1,0.962,243,7,12,238,0.03555555555555556,0.057777777777777775,0.011111111111111127,"{""tpr"": {""male"": 0.9555555555555556, ""female"": 0.92}, ""fpr"": {""male"": 0.022222222222222223, ""female"": 0.08}, ""pos_rate"": {""male"": 0.4888888888888889, ""female"": 0.5}}",/kaggle/working/res/roc_sex_efficientnetv2_rep3_1753357039622324655.csv
4,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.1/female:0.9,female:0.8000/male:0.2000,female:0.9000/male:0.1000,2/8,1/9,0.968,244,6,10,240,0.0,0.02666666666666667,0.013333333333333364,"{""tpr"": {""female"": 0.96, ""male"": 0.96}, ""fpr"": {""female"": 0.02666666666666667, ""male"": 0.0}, ""pos_rate"": {""female"": 0.49333333333333335, ""male"": 0.48}}",/kaggle/working/res/roc_sex_efficientnetv2_rep4_1753359212635967373.csv
4,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.2/female:0.8,female:0.8000/male:0.2000,female:0.8000/male:0.2000,2/8,2/8,0.966,242,8,9,241,0.020000000000000018,0.010000000000000002,0.015000000000000013,"{""tpr"": {""female"": 0.96, ""male"": 0.98}, ""fpr"": {""female"": 0.03, ""male"": 0.04}, ""pos_rate"": {""female"": 0.495, ""male"": 0.51}}",/kaggle/working/res/roc_sex_efficientnetv2_rep4_1753359214985230912.csv
4,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.3/female:0.7,female:0.8000/male:0.2000,female:0.7000/male:0.3000,2/8,3/7,0.958,241,9,12,238,0.007619047619047636,0.04380952380952381,0.018095238095238164,"{""tpr"": {""female"": 0.9542857142857143, ""male"": 0.9466666666666667}, ""fpr"": {""female"": 0.022857142857142857, ""male"": 0.06666666666666667}, ""pos_rate"": {""female"": 0.48857142857142855, ""male"": 0.5066666666666667}}",/kaggle/working/res/roc_sex_efficientnetv2_rep4_1753359217355078063.csv
4,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.4/female:0.6,female:0.8000/male:0.2000,female:0.6000/male:0.4000,2/8,4/6,0.948,239,11,15,235,0.016666666666666607,0.07666666666666666,0.030000000000000027,"{""tpr"": {""female"": 0.9466666666666667, ""male"": 0.93}, ""fpr"": {""female"": 0.013333333333333334, ""male"": 0.09}, ""pos_rate"": {""female"": 0.48, ""male"": 0.51}}",/kaggle/working/res/roc_sex_efficientnetv2_rep4_1753359219727709774.csv
4,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.5/female:0.5,female:0.8000/male:0.2000,female:0.5000/male:0.5000,2/8,5/5,0.948,239,11,15,235,0.007999999999999896,0.055999999999999994,0.03200000000000003,"{""tpr"": {""female"": 0.936, ""male"": 0.944}, ""fpr"": {""female"": 0.016, ""male"": 0.072}, ""pos_rate"": {""female"": 0.476, ""male"": 0.508}}",/kaggle/working/res/roc_sex_efficientnetv2_rep4_1753359222116420551.csv
4,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.6/female:0.4,female:0.8000/male:0.2000,male:0.6000/female:0.4000,2/8,6/4,0.946,239,11,16,234,0.009999999999999898,0.056666666666666664,0.033333333333333326,"{""tpr"": {""female"": 0.93, ""male"": 0.94}, ""fpr"": {""female"": 0.01, ""male"": 0.06666666666666667}, ""pos_rate"": {""female"": 0.47, ""male"": 0.5033333333333333}}",/kaggle/working/res/roc_sex_efficientnetv2_rep4_1753359224537106099.csv
4,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.7/female:0.3,female:0.8000/male:0.2000,male:0.7000/female:0.3000,2/8,7/3,0.94,239,11,19,231,0.024761904761904763,0.06285714285714286,0.043809523809523854,"{""tpr"": {""female"": 0.9066666666666666, ""male"": 0.9314285714285714}, ""fpr"": {""female"": 0.0, ""male"": 0.06285714285714286}, ""pos_rate"": {""female"": 0.4533333333333333, ""male"": 0.49714285714285716}}",/kaggle/working/res/roc_sex_efficientnetv2_rep4_1753359226976299782.csv
4,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.8/female:0.2,female:0.8000/male:0.2000,male:0.8000/female:0.2000,2/8,8/2,0.94,235,15,15,235,0.0,0.075,0.03749999999999998,"{""tpr"": {""female"": 0.94, ""male"": 0.94}, ""fpr"": {""female"": 0.0, ""male"": 0.075}, ""pos_rate"": {""female"": 0.47, ""male"": 0.5075}}",/kaggle/working/res/roc_sex_efficientnetv2_rep4_1753359229425529937.csv
4,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.9/female:0.1,female:0.8000/male:0.2000,male:0.9000/female:0.1000,2/8,9/1,0.93,232,18,17,233,0.013333333333333308,0.08,0.04666666666666669,"{""tpr"": {""female"": 0.92, ""male"": 0.9333333333333333}, ""fpr"": {""female"": 0.0, ""male"": 0.08}, ""pos_rate"": {""female"": 0.46, ""male"": 0.5066666666666667}}",/kaggle/working/res/roc_sex_efficientnetv2_rep4_1753359231903627497.csv
