EfficientNetV2S,InceptionV3,Xception,Comparison,TestRatio,Test
1.0,0.03982412934193977,0.03982412934193977,EfficientNetV2S,4/6,Dunn
0.03982412934193977,1.0,0.9216978169073431,InceptionV3,4/6,Dunn
0.03982412934193977,0.9216978169073431,1.0,Xception,4/6,Dunn
