EfficientNetV2S,InceptionV3,Xception,Comparison,TestRatio,Test
1.0,0.014715490093496406,0.0454375361435315,EfficientNetV2S,8/2,Dunn
0.014715490093496406,1.0,0.6745802433892736,InceptionV3,8/2,Dunn
0.0454375361435315,0.6745802433892736,1.0,Xception,8/2,Dunn
