EfficientNetV2S,InceptionV3,Xception,Comparison,TestRatio,Test
1.0,0.03215784109302488,0.05192362180426692,EfficientNetV2S,6/4,Dunn
0.03215784109302488,1.0,0.8491009598498349,InceptionV3,6/4,Dunn
0.05192362180426692,0.8491009598498349,1.0,Xception,6/4,Dunn
